Date,Open,High,Low,Close,Adj Close,Volume
4/26/1990,2.625,2.6875,2.625,2.6875,1.387611,461600
4/27/1990,2.6875,2.703125,2.6875,2.703125,1.395678,133600
4/30/1990,2.703125,2.71875,2.6875,2.71875,1.403747,68800
5/1/1990,2.71875,2.828125,2.6875,2.8125,1.452151,732800
5/2/1990,2.78125,2.828125,2.765625,2.8125,1.452151,575200
5/3/1990,2.84375,2.859375,2.828125,2.828125,1.460218,105600
5/4/1990,2.84375,2.84375,2.78125,2.78125,1.436016,279200
5/7/1990,2.78125,2.84375,2.78125,2.84375,1.468285,32800
5/8/1990,2.84375,2.84375,2.828125,2.828125,1.460218,48800
5/9/1990,2.84375,2.859375,2.796875,2.796875,1.444083,1232800
5/10/1990,2.8125,2.84375,2.796875,2.796875,1.444083,428000
5/11/1990,2.828125,2.875,2.828125,2.875,1.484421,172000
5/14/1990,2.890625,2.890625,2.75,2.75,1.41988,2418400
5/15/1990,2.78125,2.828125,2.75,2.8125,1.452151,5804800
5/16/1990,2.8125,2.96875,2.8125,2.90625,1.500556,367200
5/17/1990,2.921875,2.953125,2.921875,2.953125,1.524758,196000
5/18/1990,2.96875,3,2.96875,3,1.548961,181600
5/21/1990,2.96875,2.96875,2.921875,2.953125,1.524758,74400
5/22/1990,2.984375,2.984375,2.96875,2.96875,1.532825,40800
5/23/1990,2.96875,2.96875,2.90625,2.90625,1.500556,30400
5/24/1990,2.921875,2.921875,2.75,2.8125,1.452151,483200
5/25/1990,2.8125,2.875,2.75,2.875,1.484421,817600
5/29/1990,2.890625,2.90625,2.890625,2.90625,1.500556,60800
5/30/1990,2.9375,2.984375,2.921875,2.96875,1.532825,129600
5/31/1990,2.9375,2.984375,2.90625,2.96875,1.532825,143200
6/1/1990,2.96875,2.984375,2.953125,2.96875,1.532825,47200
6/4/1990,2.9375,2.984375,2.90625,2.984375,1.540893,68000
6/5/1990,2.984375,3,2.796875,2.890625,1.492487,1125600
6/6/1990,2.890625,2.90625,2.875,2.875,1.484421,44000
6/7/1990,2.890625,2.890625,2.859375,2.859375,1.476353,212800
6/8/1990,2.875,2.875,2.8125,2.84375,1.468285,405600
6/11/1990,2.859375,2.890625,2.84375,2.875,1.484421,48800
6/12/1990,2.90625,3,2.859375,2.984375,1.540893,196000
6/13/1990,2.96875,3.09375,2.96875,2.96875,1.532825,208000
6/14/1990,2.953125,2.984375,2.9375,2.984375,1.540893,20800
6/15/1990,2.984375,2.984375,2.921875,2.96875,1.532825,158400
6/18/1990,2.96875,2.96875,2.96875,2.96875,1.532825,1600
6/19/1990,2.9375,2.9375,2.875,2.921875,1.508624,174400
6/20/1990,2.953125,2.953125,2.90625,2.9375,1.516691,127200
6/21/1990,2.921875,2.9375,2.921875,2.9375,1.516691,6400
6/22/1990,2.9375,2.953125,2.921875,2.953125,1.524758,356800
6/25/1990,2.921875,2.9375,2.90625,2.921875,1.508624,24800
6/26/1990,2.90625,2.921875,2.859375,2.921875,1.508624,207200
6/27/1990,2.921875,2.9375,2.921875,2.921875,1.508624,13600
6/28/1990,2.9375,2.96875,2.9375,2.96875,1.532825,157600
6/29/1990,2.984375,2.984375,2.953125,2.96875,1.532825,327200
7/2/1990,2.953125,2.953125,2.875,2.90625,1.500556,322400
7/3/1990,2.9375,2.9375,2.875,2.875,1.484421,308800
7/5/1990,2.84375,2.84375,2.8125,2.828125,1.460218,596800
7/6/1990,2.78125,2.796875,2.78125,2.796875,1.444083,82400
7/9/1990,2.796875,2.8125,2.75,2.78125,1.436016,724800
7/10/1990,2.78125,2.78125,2.765625,2.78125,1.462304,1073600
7/11/1990,2.78125,2.8125,2.78125,2.796875,1.470519,776000
7/12/1990,2.796875,2.90625,2.796875,2.875,1.511596,1208800
7/13/1990,2.90625,3,2.90625,2.96875,1.560886,568000
7/16/1990,2.984375,3,2.96875,2.96875,1.560886,680800
7/17/1990,2.96875,2.96875,2.921875,2.921875,1.536242,102400
7/18/1990,2.921875,2.921875,2.84375,2.84375,1.495165,348000
7/19/1990,2.8125,2.875,2.796875,2.875,1.511596,465600
7/20/1990,2.890625,2.90625,2.890625,2.890625,1.51981,51200
7/23/1990,2.875,2.9375,2.859375,2.9375,1.544456,349600
7/24/1990,2.90625,3.015625,2.90625,2.984375,1.569102,353600
7/25/1990,3.015625,3.03125,3,3.03125,1.593747,52000
7/26/1990,3.0625,3.0625,3.03125,3.0625,1.610178,80000
7/27/1990,3.03125,3.0625,2.984375,2.984375,1.569102,75200
7/30/1990,3,3,2.984375,3,1.577317,160800
7/31/1990,2.953125,3.015625,2.953125,3,1.577317,175200
8/1/1990,3.03125,3.0625,3,3.015625,1.585532,134400
8/2/1990,3.125,3.171875,3.03125,3.171875,1.667684,1056800
8/3/1990,3.15625,3.265625,3.109375,3.203125,1.684114,1272000
8/6/1990,3.25,3.265625,3.125,3.125,1.643039,247200
8/7/1990,3.125,3.140625,3.125,3.140625,1.651255,148800
8/8/1990,3.125,3.140625,3.09375,3.09375,1.626608,170400
8/9/1990,3.09375,3.09375,3.0625,3.09375,1.626608,296000
8/10/1990,3.09375,3.109375,3.09375,3.09375,1.626608,299200
8/13/1990,3.109375,3.125,3.078125,3.078125,1.618393,56800
8/14/1990,3.109375,3.109375,3.0625,3.0625,1.610178,49600
8/15/1990,3.0625,3.15625,3.0625,3.125,1.643039,196000
8/16/1990,3.109375,3.125,3.078125,3.109375,1.634823,140000
8/17/1990,3.140625,3.1875,3.125,3.140625,1.651255,201600
8/20/1990,3.15625,3.15625,3.046875,3.046875,1.601962,239200
8/21/1990,3.0625,3.09375,3.0625,3.078125,1.618393,452000
8/22/1990,3.0625,3.09375,3.015625,3.015625,1.585532,333600
8/23/1990,3,3,2.9375,2.96875,1.560886,364000
8/24/1990,2.921875,3,2.921875,3,1.577317,326400
8/27/1990,3,3,2.953125,2.953125,1.552672,88000
8/28/1990,2.953125,2.984375,2.953125,2.984375,1.569102,8000
8/29/1990,3.015625,3.015625,2.9375,2.9375,1.544456,140800
8/30/1990,2.953125,2.984375,2.90625,2.984375,1.569102,65600
8/31/1990,2.953125,2.984375,2.890625,2.921875,1.536242,256800
9/4/1990,2.9375,2.953125,2.9375,2.953125,1.552672,20000
9/5/1990,2.953125,3.1875,2.953125,3.171875,1.667684,223200
9/6/1990,3.203125,3.296875,3.1875,3.296875,1.733406,317600
9/7/1990,3.296875,3.359375,3.296875,3.359375,1.766266,160800
9/10/1990,3.328125,3.390625,3.328125,3.359375,1.766266,1408800
9/11/1990,3.375,3.375,3.1875,3.3125,1.741621,963200
9/12/1990,3.34375,3.34375,3.265625,3.3125,1.741621,336000
9/13/1990,3.3125,3.328125,3.25,3.25,1.70876,405600
9/14/1990,3.25,3.390625,3.25,3.390625,1.782697,209600
9/17/1990,3.390625,3.46875,3.375,3.46875,1.823773,1116000
9/18/1990,3.46875,3.765625,3.46875,3.671875,1.930569,776800
9/19/1990,3.6875,3.6875,3.65625,3.65625,1.922355,1624800
9/20/1990,3.65625,3.65625,3.53125,3.53125,1.856633,432000
9/21/1990,3.484375,3.5625,3.46875,3.5625,1.873065,521600
9/24/1990,3.5625,3.5625,3.484375,3.515625,1.84842,112800
9/25/1990,3.5,3.515625,3.5,3.515625,1.84842,221600
9/26/1990,3.515625,3.515625,3.453125,3.46875,1.823773,55200
9/27/1990,3.4375,3.453125,3.375,3.375,1.774481,72800
9/28/1990,3.375,3.375,3.28125,3.34375,1.758052,163200
10/1/1990,3.328125,3.390625,3.296875,3.34375,1.758052,455200
10/2/1990,3.359375,3.359375,3.328125,3.359375,1.766266,72000
10/3/1990,3.34375,3.34375,3.3125,3.34375,1.758052,26400
10/4/1990,3.34375,3.34375,3.25,3.25,1.70876,313600
10/5/1990,3.234375,3.296875,3.1875,3.1875,1.6759,550400
10/8/1990,3.203125,3.234375,3.1875,3.1875,1.6759,411200
10/9/1990,3.203125,3.375,3.203125,3.34375,1.786069,298400
